Gene_ID,Shortened_Name
SMEL4.1_01g000730.1.01,SmelDMP_01.730
SMEL4.1_01g024990.1.01,SmelDMP_01.990
SMEL4.1_02g015810.1.01,SmelDMP_02
SMEL4.1_04g004560.1.01,SmelDMP_04
SMEL4.1_10g015200.1.01,SmelDMP_10.200
SMEL4.1_10g003560.1.01,SmelDMP_10.560
SMEL4.1_10g003550.1.01,SmelDMP_10.550
SMEL4.1_12g004810.1.01,SmelDMP_12
SMEL4.1_10g015200.1.01,SmelDMP_10.200_CDS1_Exon1
SMEL4.1_10g015200.1.01,SmelDMP_10.200_CDS2
SMEL4.1_10g015200.1.01,SmelDMP10.200_Exon2
SMEL4.1_10g015200.1.01,SmelDMP10.200_Intron
SMEL4.1_06g023900.1,Smel18s_06.900
SMEL4.1_01g003610.1,SmelCyclo_01
