SRR_ID,Organ,Notes
# OTHER_SRR_LIST - Miscellaneous samples
# Source: https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP390977&o=acc_s%3Aa
SRR34564302,Fruits,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR34564302
SRR34848077,Leaves,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR34848077
#PRJNA613773,Leaf,BioProject not SRR — expand to individual SRR IDs before use
SRR3884677,Cotyledons,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR3884677
SRR3479277,Pistil,https://trace.ncbi.nlm.nih.gov/Traces/?view=run_browser&acc=SRR3479277
#SRR3884597,Flowers,duplicate: already in PRJNA328564
#PRJNA341784,Flower_buds_lang,BioProject not SRR — expand to individual SRR IDs before use
#PRJNA477924,Leaf_and_Root,BioProject not SRR — expand to individual SRR IDs before use
